property_id,account_number,address,city,postcode,state,label
PROP-40000000,A-10000000,6973 Cedar Dr,Houston,77001,TX,Main property - Houston
PROP-40000001,A-10000001,2145 River Rd,Houston,77002,TX,Main property - Houston
PROP-40000002,A-10000002,3532 Elm Ln,Houston,77019,TX,Main property - Houston
PROP-40000003,A-10000003,1184 Cedar Dr,Dallas,75201,TX,Main property - Dallas
PROP-40000004,A-10000004,1896 Pine Blvd,Dallas,75202,TX,Main property - Dallas
PROP-40000005,A-10000005,1927 Elm Ln,Austin,78701,TX,Main property - Austin
PROP-40000006,A-10000006,109 Hill Rd,Austin,78702,TX,Main property - Austin
PROP-40000007,A-10000007,8745 Hill Rd,San Antonio,78201,TX,Main property - San Antonio
PROP-40000008,A-10000008,1263 Oak St,Fort Worth,76101,TX,Main property - Fort Worth
PROP-40000009,A-10000009,7162 Main St,El Paso,79901,TX,Main property - El Paso
PROP-40000010,A-10000010,928 Park Ave,Arlington,76010,TX,Main property - Arlington
PROP-40000011,A-10000011,2636 Cedar Dr,Corpus Christi,78401,TX,Main property - Corpus Christi
PROP-40000012,A-10000012,3953 River Rd,Plano,75023,TX,Main property - Plano
PROP-40000013,A-10000013,252 Lake Dr,Lubbock,79401,TX,Main property - Lubbock
PROP-40000014,A-10000014,1797 Pine Blvd,Houston,77001,TX,Main property - Houston
PROP-40000015,A-10000015,5564 Pine Blvd,Houston,77002,TX,Main property - Houston
PROP-40000016,A-10000016,5962 Cedar Dr,Houston,77019,TX,Main property - Houston
PROP-40000017,A-10000017,6367 Oak St,Dallas,75201,TX,Main property - Dallas
PROP-40000018,A-10000018,3025 Hill Rd,Dallas,75202,TX,Main property - Dallas
PROP-40000019,A-10000019,5509 Hill Rd,Austin,78701,TX,Main property - Austin
PROP-40000020,A-10000020,5078 Elm Ln,Austin,78702,TX,Main property - Austin
PROP-40000021,A-10000021,5185 Cedar Dr,San Antonio,78201,TX,Main property - San Antonio
PROP-40000022,A-10000022,2981 Park Ave,Fort Worth,76101,TX,Main property - Fort Worth
PROP-40000023,A-10000023,7473 Elm Ln,El Paso,79901,TX,Main property - El Paso
PROP-40000024,A-10000024,6897 River Rd,Arlington,76010,TX,Main property - Arlington
PROP-40000025,A-10000025,9983 Cedar Dr,Corpus Christi,78401,TX,Main property - Corpus Christi
PROP-40000026,A-10000026,1475 River Rd,Plano,75023,TX,Main property - Plano
PROP-40000027,A-10000027,5833 Cedar Dr,Lubbock,79401,TX,Main property - Lubbock
PROP-40000028,A-10000028,1871 Hill Rd,Houston,77001,TX,Main property - Houston
PROP-40000029,A-10000029,6171 Maple Ave,Houston,77002,TX,Main property - Houston
PROP-40000030,A-10000030,5380 Cedar Dr,Houston,77019,TX,Main property - Houston
PROP-40000031,A-10000031,3230 Maple Ave,Dallas,75201,TX,Main property - Dallas
PROP-40000032,A-10000032,7071 Park Ave,Dallas,75202,TX,Main property - Dallas
PROP-40000033,A-10000033,3827 Main St,Austin,78701,TX,Main property - Austin
PROP-40000034,A-10000034,3120 Oak St,Austin,78702,TX,Main property - Austin
PROP-40000035,A-10000035,8661 River Rd,San Antonio,78201,TX,Main property - San Antonio
PROP-40000036,A-10000036,7481 Hill Rd,Fort Worth,76101,TX,Main property - Fort Worth
PROP-40000037,A-10000037,2430 Maple Ave,El Paso,79901,TX,Main property - El Paso
PROP-40000038,A-10000038,523 Maple Ave,Arlington,76010,TX,Main property - Arlington
PROP-40000039,A-10000039,5560 Main St,Corpus Christi,78401,TX,Main property - Corpus Christi
PROP-40000040,A-10000040,6870 Oak St,Plano,75023,TX,Main property - Plano
PROP-40000041,A-10000041,9124 Oak St,Lubbock,79401,TX,Main property - Lubbock
PROP-40000042,A-10000042,6384 Cedar Dr,Houston,77001,TX,Main property - Houston
PROP-40000043,A-10000043,8035 Main St,Houston,77002,TX,Main property - Houston
PROP-40000044,A-10000044,8329 Hill Rd,Houston,77019,TX,Main property - Houston
PROP-40000045,A-10000045,6326 Main St,Dallas,75201,TX,Main property - Dallas
PROP-40000046,A-10000046,853 Main St,Dallas,75202,TX,Main property - Dallas
PROP-40000047,A-10000047,7629 Elm Ln,Austin,78701,TX,Main property - Austin
PROP-40000048,A-10000048,9470 Main St,Austin,78702,TX,Main property - Austin
PROP-40000049,A-10000049,3215 Hill Rd,San Antonio,78201,TX,Main property - San Antonio
PROP-40000050,A-10000050,2795 Elm Ln,Fort Worth,76101,TX,Main property - Fort Worth
PROP-40000051,A-10000051,8891 Maple Ave,El Paso,79901,TX,Main property - El Paso
PROP-40000052,A-10000052,2011 Pine Blvd,Arlington,76010,TX,Main property - Arlington
PROP-40000053,A-10000053,6786 Elm Ln,Corpus Christi,78401,TX,Main property - Corpus Christi
PROP-40000054,A-10000054,9883 Oak St,Plano,75023,TX,Main property - Plano
PROP-40000055,A-10000055,4206 Pine Blvd,Lubbock,79401,TX,Main property - Lubbock
PROP-40000056,A-10000056,810 Park Ave,Houston,77001,TX,Main property - Houston
